,kaptCode,Complex_Name
67,A13509010,삼성롯데캐슬프레미어
68,A13509006,삼성서광
69,A13509003,삼성풍림아파트1차
70,A13587603,선릉에클라트
71,A13509012,삼성힐스테이트1단지
72,A13509007,삼성롯데
73,A13570502,래미안삼성1차104단지
74,A13509013,래미안삼성1차(105)
75,A13509015,동일파크스위트
76,A13509101,삼성청구타운
77,A13509009,아이파크삼성동
78,A13509014,래미안삼성1차103단지
79,A10026350,삼성동센트럴아이파크
80,A10026934,삼성동롯데캐슬킹덤아파트
81,A10024131,래미안 라클래시
82,A10023939,삼성석탑아파트
83,A10024819,삼성동한일아파트
84,A10024435,삼성동대성유니드
85,A13528102,대치아이파크
86,A13528103,대치동부센트레빌
87,A13528004,대치미도맨션
88,A13583604,대치선경
89,A13583701,대치현대
90,A13528003,대치삼성
91,A13528007,래미안대치하이스턴
92,A13528005,테헤란로대우아이빌
93,A13528105,개포1차2차우성
94,A13528001,대치대우아이빌4차
95,A13584101,대치포스코더샵
96,A13583507,은마
97,A13528008,대치효성
98,A13583403,대치우성1차아파트
99,A13583404,쌍용대치1차
100,A13583402,대치쌍용2차
101,A10027800,래미안 대치 팰리스
102,A10025646,대치풍림아이원아파트 1.2단지
103,A10026526,대치풍림아이원3.4차아파트 
104,A10024102,대치르엘
105,A10024815,롯데캐슬리베아파트
106,A10026924,대치SK VIEW
107,A10024821,대치롯데캐슬아파트
108,A10024799,대치1차현대아파트
109,A10028094,압구정하이츠파크
110,A10024029,신사삼성래미안아파트
111,A10024814,로데오현대아파트
112,A10024805,압구정대원칸타빌아파트
113,A13501004,논현신동아
114,A13501001,동양파라곤
115,A13572601,동화히스토리
116,A13582002,논현동현
117,A13501007,논현쌍용
118,A13501008,거평
119,A13583301,논현동부센트레빌
120,A13501006,아크로힐스논현
121,A13501002,마일스디오빌
122,A10024457,논현두산2차아파트
123,A10023245,선정릉역 모아엘가퍼스트홈
124,A13501005,논현두산위브1단지
125,A10024501,논현 기린힐스
126,A10024035,강남파라곤
127,A13590204,압구정한양아파트제2단지
128,A13589802,압구정현대아파트
129,A13511201,압구정현대8차
130,A13551103,압구정한양아파트제1단지
131,A13590602,압구정한양3단지
132,A13511001,압구정미성1차
133,A13511004,압구정신현대
134,A13511101,"압구정 현대(10,13,14차)"
135,A13511003,압구정미성2차
136,A13519002,강남신동아파밀리에2단지
137,A13519006,세곡푸르지오
138,A13519007,강남엘에이치1단지
139,A13519004,세곡리엔파크4단지
140,A13519005,강남데시앙파크
141,A13519003,세곡리엔파크3단지
142,A13519001,강남신동아파밀리에1단지
143,A10027558,강남효성해링턴코트
144,A10028172,강남자곡아이파크
145,A13519008,LH강남3단지
146,A13520003,래미안강남힐즈
147,A13520004,강남브리즈힐
148,A10027985,LH강남힐스테이트아파트
149,A13520002,강남한양수자인
150,A10023314,LH수서1단지(행복주택)
151,A13520001,래미안포레
152,A10027909,강남한신휴플러스 8단지
153,A10027912,강남한신휴플러스 6단지
154,A13594702,상록수아파트
155,A13523005,일원목련타운
156,A13523004,일원샘터마을
157,A13594701,한솔마을
158,A13593802,수서1-1단지아파트
159,A13523003,수서가람
160,A13594402,개포한신
161,A13593801,일원동 수서아파트
162,A13594203,푸른마을아파트
163,A13523001,일원청솔빌리지
164,A13594403,개포7차우성
165,A10027571,개포4차현대아파트
166,A10025823,래미안개포루체하임
167,A10023547,개포상록스타힐스
168,A10024216,디에이치 자이 개포
169,A10024258,디에이치포레센트아파트
170,A13522003,수서삼익
171,A13522008,수서주공
172,A13522004,수서삼성
173,A13588402,수서한아름
174,A13522007,수서까치마을
175,A13522006,수서신동아
176,A13552001,서울주택도시공사 수서6단지
177,A13552002,강남데시앙포레
178,A13588601,수서동익
179,A10025204,수서하니움
180,A10027446,강남더샵포레스트
181,A13550502,도곡삼성래미안
182,A13527003,우성캐릭터199 아파트
183,A13527005,현대비전21
184,A13527014,도곡대림아크로빌
185,A13527004,도곡삼성
186,A13585404,래미안도곡카운티
187,A13527002,도곡현대그린
188,A13585403,타워팰리스G동
189,A13527008,도곡경남
190,A13527013,개포4차우성
191,A13527203,도곡렉슬
